OBJECTID,Neighbourhood_Crime_Rates_Neigh,Neighbourhood_Crime_Rates_Hood_,Hood_ID,Neighbourhood,Division,Assault_2014,Assault_2015,Assault_2016,Assault_2017,Assault_2018,Assault_AVG,Assault_CHG,Assault_Rate_2018,Auto_Theft_2014,Auto_Theft_2015,Auto_Theft_2016,Auto_Theft_2017,Auto_Theft_2018,AutoTheft_AVG,AutoTheft_CHG,AutoTheft_Rate_2018,BreakandEnter_2014,BreakandEnter_2015,BreakandEnter_2016,BreakandEnter_2017,BreakandEnter_2018,BreakandEnter_AVG,BreakandEnter_CHG,BreakandEnter_Rate_2018,Robbery_2014,Robbery_2015,Robbery_2016,Robbery_2017,Robbery_2018,Robbery_AVG,Robbery_CHG,Robbery_Rate_2018,Theft_Over_2014,Theft_Over_2015,Theft_Over_2016,Theft_Over_2017,Theft_Over_2018,TheftOver_AVG,TheftOver_CHG,TheftOver_Rate_2018,Homicide_2014,Homicide_2015,Homicide_2016,Homicide_2017,Homicide_2018,Homicide_AVG,Homicide_CHG,Homicide_Rate_2018,Population,Shape__Area,Shape__Length
48,Keelesdale-Eglinton West,110,110,Keelesdale-Eglinton West,D12,143,178,162,160,151,158.8,-6%,1613.8,6,17,20,15,11,13.8,-27%,117.6,33,47,61,51,70,52.4,37%,748.1,17,22,28,26,24,23.4,-8%,256.5,4,2,9,9,6,6,-33%,64.1,0,0,0,0,0,N/A,N/A,0,9357,1750773.86,5670.472099
49,O'Connor-Parkview,54,54,O'Connor-Parkview,D54,29,40,38,42,46,39,10%,195.6,29,28,21,30,16,24.8,-47%,68,19,27,26,33,31,27.2,-6%,131.8,13,10,13,5,6,9.4,20%,25.5,1,4,4,7,3,3.8,-57%,12.8,1,0,0,1,0,1,-100%,0,23514,4876767.018,10927.17794
50,Old East York,58,58,Old East York,D54,102,115,108,96,91,102.4,-5%,547.6,8,16,8,10,5,9.4,-50%,30.1,35,48,17,33,20,30.6,-39%,120.3,27,19,11,13,7,15.4,-46%,42.1,4,5,4,1,1,3,0%,6,0,0,1,0,2,1.5,N/A,12,16619,2349933.438,7485.024652
51,Casa Loma,96,96,Casa Loma,D53,149,151,169,154,127,150,-18%,814.4,33,32,31,41,18,31,-56%,115.4,70,60,47,67,77,64.2,15%,493.7,11,19,32,38,21,24.2,-45%,134.7,6,6,2,10,6,6,-40%,38.5,0,0,0,0,1,1,N/A,6.4,15595,1922539.636,5937.879649
52,Kensington-Chinatown,78,78,Kensington-Chinatown,D52,203,200,241,343,448,287,31%,3339.5,34,33,34,40,21,32.4,-48%,156.5,60,66,48,58,48,56,-17%,357.8,9,24,12,22,28,19,27%,208.7,10,15,17,14,12,13.6,-14%,89.5,0,1,3,0,3,2.3,N/A,22.4,13415,1534712.33,5024.453809
53,Kingsway South,15,15,Kingsway South,D22,63,39,61,47,51,52.2,9%,985.5,2,6,2,6,6,4.4,0%,115.9,15,27,15,13,13,16.6,0%,251.2,11,10,9,15,11,11.2,-27%,212.6,1,0,1,1,0,1,-100%,0,0,0,0,0,0,N/A,N/A,0,5175,2638301.25,8062.512327
54,Runnymede-Bloor West Village,89,89,Runnymede-Bloor West Village,D11,28,42,38,45,36,37.8,-20%,207.4,9,7,4,6,10,7.2,67%,57.6,35,42,27,25,24,30.6,-4%,138.3,22,27,31,23,17,24,-26%,97.9,2,3,6,2,3,3.2,50%,17.3,0,0,0,0,0,N/A,N/A,0,17358,1593977.758,6748.112245
55,Forest Hill South,101,101,Forest Hill South,D13,119,121,127,135,133,127,-1%,1069.4,9,12,4,10,10,9,0%,80.4,41,32,28,30,35,33.2,17%,281.4,22,15,21,17,33,21.6,94%,265.3,8,6,3,2,7,5.2,250%,56.3,0,0,0,0,0,N/A,N/A,0,12437,2480022.939,7188.574171
56,Henry Farm,53,53,Henry Farm,D33,69,56,47,57,73,60.4,28%,770.3,21,11,24,19,23,19.6,21%,242.7,32,47,30,33,45,37.4,36%,474.8,20,7,11,24,19,16.2,-21%,200.5,4,4,2,4,5,3.8,25%,52.8,0,0,0,1,1,1,0%,10.6,9477,2593263.593,8150.843903
57,Annex,95,95,Annex,D53,92,82,71,80,65,78,-19%,281.3,14,15,19,21,26,19,24%,112.5,40,44,34,39,43,40,10%,186.1,27,15,15,10,12,15.8,20%,51.9,8,1,4,5,6,4.8,20%,26,0,0,0,0,2,2,N/A,8.7,23107,2790356.136,7606.039068
